1,7086.8967
2,7082.42
3,7097.585
4,7105.1117
5,7120.485
6,7127.0983
7,7135.515
8,7135.02
9,7115.355
10,7121.3333
11,7124.8867
12,7132.52
13,7145.8067
14,7161.59
15,7159.3267
16,7167.4167
17,7158.8467
18,7160.7967
19,7167.79
20,7169.9467
21,7158.4433
22,7154.005
23,7158.6883
24,7143.6617
25,7153.3367
26,7153.2617
27,7158.44
28,7180.5833
29,7173.28
30,7176.46
31,7192.0117
32,7199.365
33,7205.3433
34,7206.315
35,7211.28
36,7209.94
37,7214.86
38,7224.4883
39,7228.565
40,7239.8583
41,7228.7283
42,7214.2783
43,7216.0983
44,7214.7767
45,7227.0133
46,7230.3867
47,7217.5967
48,7215.0467
49,7207.1483
50,7190.6717
51,7201.0783
52,7190.8433
53,7190.4633
54,7200.035
55,7201.2533
56,7191.9017
57,7187.665
58,7195.325
59,7187.7517
60,7178.0933
